Command,Explanation,Doc_Path,Html_Path
shopt,Shell Options,docs/txt/shopt.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\shopt.html
shuf,Generate random permutations,docs/txt/shuf.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\shuf.html
shutdown,Shutdown or restart linux,docs/txt/shutdown.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\shutdown.html
sleep,Delay for a specified time,docs/txt/sleep.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sleep.html
slocate,Find files,docs/txt/slocate.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\slocate.html
sort,Sort text files,docs/txt/sort.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sort.html
source,Run commands from a file '.'  ,docs/txt/source.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\source.html
split,Split a file into fixed-size pieces,docs/txt/split.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\split.html
ss,Socket Statistics,docs/txt/ss.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ss.html
ssh,Secure Shell client (remote login program),docs/txt/ssh.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ssh.html
stat,Display file or file system status,docs/txt/stat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\stat.html
strace,Trace system calls and signals,docs/txt/strace.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\strace.html
su,Substitute user identity,docs/txt/su.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\su.html
sudo,Execute a command as another user,docs/txt/sudo.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sudo.html
sum,Print a checksum for a file,docs/txt/sum.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sum.html
suspend,Suspend execution of this shell ,docs/txt/suspend.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\suspend.html
sync,Synchronize data on disk with memory,docs/txt/sync.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\sync.html
tabs,Set tabs on a terminal,docs/txt/tabs.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tabs.html
tail,Output the last part of a file,docs/txt/tail.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tail.html
tar,"Store, list or extract files in an archive",docs/txt/tar.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tar.html
tee,Redirect output to multiple files,docs/txt/tee.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tee.html
test,Evaluate a conditional expression,docs/txt/test.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\test.html
time,Measure Program running time,docs/txt/time.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\time.html
timeout,Run a command with a time limit,docs/txt/timeout.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\timeout.html
times,User and system times,docs/txt/times.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\times.html
tmux,Terminal multiplexer,docs/txt/tmux.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tmux.html
touch,Change file timestamps,docs/txt/touch.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\touch.html
top,List processes running on the system,docs/txt/top.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\top.html
tput,"Set terminal-dependent capabilities, color, position",docs/txt/tput.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tput.html
traceroute,Trace Route to Host,docs/txt/traceroute.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\traceroute.html
trap,Execute a command when the shell receives a signal ,docs/txt/trap.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\trap.html
tr,"Translate, squeeze, and/or delete characters",docs/txt/tr.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tr.html
TRUE,"Do nothing, successfully",docs/txt/TRUE.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\TRUE.html
tsort,Topological sort,docs/txt/tsort.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tsort.html
tty,Print filename of terminal on stdin,docs/txt/tty.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\tty.html
type,Describe a command ,docs/txt/type.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\type.html
ulimit,Limit user resources ,docs/txt/ulimit.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ulimit.html
umask,Users file creation mask,docs/txt/umask.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\umask.html
umount,Unmount a device,docs/txt/umount.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\umount.html
unalias,Remove an alias ,docs/txt/unalias.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unalias.html
uname,Print system information,docs/txt/uname.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\uname.html
unexpand,Convert spaces to tabs,docs/txt/unexpand.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unexpand.html
uniq,Uniquify files,docs/txt/uniq.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\uniq.html
units,Convert units from one scale to another,docs/txt/units.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\units.html
unix2dos,UNIX to Windows or MAC text file format converter,docs/txt/unix2dos.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unix2dos.html
unrar,Extract files from a rar archive,docs/txt/unrar.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unrar.html
unset,Remove variable or function names,docs/txt/unset.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unset.html
unshar,Unpack shell archive scripts,docs/txt/unshar.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\unshar.html
until,Execute commands (until error),docs/txt/until.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\until.html
uptime,Show uptime,docs/txt/uptime.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\uptime.html
useradd,Create new user account,docs/txt/useradd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\useradd.html
userdel,Delete a user account,docs/txt/userdel.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\userdel.html
usermod,Modify user account,docs/txt/usermod.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\usermod.html
users,List users currently logged in,docs/txt/users.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\users.html
uuencode,Encode a binary file,docs/txt/uuencode.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\uuencode.html
uudecode,Decode a file created by uuencode,docs/txt/uudecode.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\uudecode.html
v,Verbosely list directory contents ('ls -l -b'),docs/txt/v.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\v.html
vdir,Verbosely list directory contents ('ls -l -b'),docs/txt/vdir.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\vdir.html
vi,Text Editor,docs/txt/vi.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\vi.html
vmstat,Report virtual memory statistics,docs/txt/vmstat.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\vmstat.html
w,Show who is logged on and what they are doing,docs/txt/w.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\w.html
wait,Wait for a process to complete ,docs/txt/wait.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\wait.html
watch,Execute/display a program periodically,docs/txt/watch.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\watch.html
wc,"Print byte, word, and line counts",docs/txt/wc.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\wc.html
whereis,"Search the user's $path, man pages and source files for a program",docs/txt/whereis.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\whereis.html
which,Search the user's $path for a program file,docs/txt/which.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\which.html
while,Execute commands,docs/txt/while.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\while.html
who,Print all usernames currently logged in,docs/txt/who.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\who.html
whoami,Print the current user id and name ('id -un'),docs/txt/whoami.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\whoami.html
wget,"Retrieve web pages or files via HTTP, HTTPS or FTP",docs/txt/wget.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\wget.html
write,Send a message to another user,docs/txt/write.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\write.html
xargs,"Execute utility, passing constructed argument list(s)",docs/txt/xargs.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\xargs.html
xdg-open,Open a file or URL in the user's preferred application.,docs/txt/xdg-open.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\xdg-open.html
xxd,Make a hexdump or do the reverse,docs/txt/xxd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\xxd.html
xz,Compress or decompress .xz and .lzma files,docs/txt/xz.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\xz.html
yes,Print a string until interrupted,docs/txt/yes.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\yes.html
zip,Package and compress (archive) files,docs/txt/zip.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\zip.html
.,Run a command script in the current shell,docs/txt/..txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\..html
!!,Run the last command again,docs/txt/!!.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\!!.html
###,Comment / Remark,docs/txt/###.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\###.html
