Command,Explanation,Doc_Path,Html_Path
dd,"Data Duplicator - convert and copy a file, write disk headers, boot records",docs/txt/dd.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dd.html
ddrescue,Data recovery tool,docs/txt/ddrescue.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ddrescue.html
declare,Declare variables and give them attributes ,docs/txt/declare.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\declare.html
df,Display free disk space,docs/txt/df.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\df.html
diff,Display the differences between two files,docs/txt/diff.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\diff.html
diff3,Show differences among three files,docs/txt/diff3.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\diff3.html
dig,DNS lookup,docs/txt/dig.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dig.html
dir,Briefly list directory contents,docs/txt/dir.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dir.html
dircolors,Colour setup for 'ls',docs/txt/dircolors.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dircolors.html
dirname,Convert a full pathname to just a path,docs/txt/dirname.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dirname.html
dirs,Display list of remembered directories,docs/txt/dirs.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dirs.html
dos2unix,Windows/MAC to UNIX text file format converter,docs/txt/dos2unix.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dos2unix.html
dmesg,Print kernel & driver messages,docs/txt/dmesg.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dmesg.html
dpkg,Package manager (Debian/Ubuntu).,docs/txt/dpkg.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\dpkg.html
du,Estimate file space usage,docs/txt/du.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\du.html
echo,Display message on screen ,docs/txt/echo.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\echo.html
egrep,Search file(s) for lines that match an extended expression,docs/txt/egrep.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\egrep.html
eject,Eject removable media,docs/txt/eject.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\eject.html
enable,Enable and disable builtin shell commands ,docs/txt/enable.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\enable.html
env,Environment variables,docs/txt/env.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\env.html
ethtool,Ethernet card settings,docs/txt/ethtool.txt,C:\Users\khbil\Documents\Python_Scripts\LinuxBash\docs\html\ethtool.html
